Listing Number	Street Number	Street Number Modifier	Street Direction	Street Name	Street Suffix	Street Post Direction	Unit	City	State	Agent Only Remarks	Taxes Annual	APN	Appliances That Stay	Architecture Desc	Area	Basement	Bathrooms	Bedrooms	Builder	Building Condition	Building Information	Bus Line Nearby	BBC Comments	Commission	Contingent Date	County	Current Price	Directions	CDOM	DOM	Entry Date	Energy Source	Exterior	Financing	Finished Sqft	Fireplaces Total	Floor Covering	Foundation	Heating Cooling Type	Inactive Date	Interior Features	Matrix Modified DT	Last Price Change Date	Leased Equipment	Legal Description	Listing Agent ID	Listing Agent Full Name	Listing Agent Cellular	Co Listing Agent ID	Co Listing Agent Full Name	Co Listing Agent Cellular	Co Listing Office ID	Co Listing Office Name	Co Listing Office Phone	Co Selling Office Name	Co Selling Office Phone	Listing Date	Listing Office ID	Listing Office Name	Listing Office Phone	Listing Price	Lot Details	Lot Dimensions	Lot Measurement	Lot Number	Lot SqFt	Lot Topography	Manu. Home Manufacturer	Manu. Home Model No.	Manu. Home Serial No.	Map Book	Map X Coordinate	Map Y Coordinate	Map Page	Marketing Remarks	New Construction State	Occupant Name	Occupant Type	Original Price	Owner Name	Owner Name 2	Owners City State	Parking Type	Pending Date	Phone to Show Number	Photographer Instructions	Picture Provided By	Photo Count	Pool Type	Possession	Potential Terms	Power Company	Preliminary Title Ordered	Property Sub Type	Publish to Internet	Roof	School District	Selling Date	Selling Agent ID	Selling Agent Full Name	Selling Agent Cellular	Selling Office ID	Selling Office Name	Selling Office Phone	Selling Price	Senior Exemption	Sewer Company	Sewer Type	Show Addressto Public	Show Map Link	Showing Information	Showing Instructions	Site Features	Square Footage Source	Square Footage	Contractual Date	Status	Style Code	Subdivision	Tax Year	Parking Covered Total	Total Useable Rooms	Square Footage Unfinished	View	Virtual Tour URL	Water Company	Water Heater Location	Water Heater Type	Water	Waterfront	Waterfront Footage	Year Built	Zip Code	Bank or REO	Third Party Approval Required	Status Change Date	Association Dues	Building Complex Or Project Name	Sale Type 
2190119	13010			159th	St	E		Puyallup	WA	Please use ShowingTime and wait for confirmation. 2 hour notice preferred. Rainier Title Puyallup Donna Gradin. Call friendly listing agent with any questions! Buyer/Buyer's agent to verify all info to satisfaction.	$4382.58	602287-024-0	Dishwasher(s), Dryer(s), Microwave(s), Refrigerator(s), Stove(s)/Range(s), Washer(s)		88 - Puyallup	None	2.5	4		Very Good	Built On Lot			2.5		Pierce	$510000.00	GPS Friendly	27	27	1/10/2024 12:00:00 AM	Electric, Natural Gas	Wood Products	FHA	1646	1	Laminate Hardwood, Wall to Wall Carpet	Poured Concrete			Bath Off Primary, Ceiling Fan(s), Dbl Pane/Storm Windw, Dining Room, Walk-in Closet	3/11/2024 3:02:56 PM	3/11/2024 3:02:56 PM			102753	Christine Bowers	(253) 341-0659									1/10/2024 12:00:00 AM	9861	Keller Williams Realty PS	(253) 835-4500	$505000.00	Paved Street, Sidewalk				4035	Level								Assumable 2.875% VA for eligible Veterans!!! Don't miss this turnkey home in the highly sought-after Sunrise community. This beautiful 4 bed 2.5 bath home boasts high ceilings and an inviting feel throughout the home. The open floor plan maximizes every square foot, seamlessly blending the living, dining, and kitchen spaces. New paint, doors & trim throughout. Retreat to the primary bedroom featuring a spacious walk-in closet and ensuite bath. 3 other large bedrooms upstairs. Enjoy the serenity of backing up to a lush greenbelt for privacy. With low maintenance in mind, this home is perfect for easy living. Welcome home to comfort, style, and the perfect balance of convenience and tranquility.		Rubano	Owner	$510000.00	Marco Rubano	Charisma Rubano	Puyallup, WA	Garage-Attached	2/6/2024 12:00:00 AM	(000) 000-0000			33		Closing	Cash Out, Conventional, FHA, State Bond, VA	PSE	True	Residential	True	Composition	Puyallup	3/11/2024 12:00:00 AM	128969	Justin Edralin	(808) 282-6368	4782	COMPASS	(206) 448-8888	$510000.00	False	Tacoma Public Utilities	Sewer Connected	True	True	Appointment, MLS Keybox, See Remarks, ShowingTime		Cable TV, Fenced-Partially, High Speed Internet, Patio	Assessor	1646	3/11/2024 12:00:00 AM	Sold	12 - 2 Story	Sunrise	2023	2		0	Territorial		Tacoma Public Utilities			Public			2000	98374	False	None	2024-03-11	775		MLS
2264663	12920			159th	St	E		Puyallup	WA	"Vacant-use showing time to avoid overlapping appointments. Keybox located on the side of the house. Buyer and selling agent to verify all information to their own satisfaction. Water is shut off while house is vacant.  Chicago Title and Escrow-Katia Chmait"	$4307.00	602287-030-0	Dishwasher(s), Garbage Disposal, Microwave(s), Refrigerator(s), Stove(s)/Range(s)		88 - Puyallup	None	2.5	3		Good	Built On Lot	True		3		Pierce	$505000.00	Heading South on meridian (WA-161)Turn left on 128th St E,Right on Military Rd E,Left on Sunrise Pkwy E,Right on 132nd Ave E.Home is on Left.	13	13	7/26/2024 12:00:00 AM	Electric, Natural Gas	Wood Products	Conventional	1576	1	Laminate, Vinyl Plank, Wall to Wall Carpet	Poured Concrete			Bath Off Primary, Dbl Pane/Storm Windw, Walk-in Closet	9/16/2024 4:42:48 PM	9/16/2024 4:42:48 PM			111757	Amy Turner	(253) 314-9763	107211	JJ McNeal	(253) 293-1725	2735	Best Choice Realty	(206) 886-3986			7/26/2024 12:00:00 AM	2735	Best Choice Realty	(206) 886-3986	$505000.00	Curbs, Paved Street, Sidewalk				3807	Level								Welcome to this charming two-story 3 bed, 3 bath home nestled in the heart of Puyallup's Sunrise Community.Upon entering, you are greeted by a vaulted entry leading to the living area, adorned with new LVP flooring as well as brand new carpets.The open-concept layout seamlessly connects the living room, dining area, and kitchen.Kitchen features new granite countertops as well as newer appliances.All 3 bathrooms feature new vanities and fresh paint.Primary bedroom boasts a generous walk-in closet and ensuite bathroom.Outside, the backyard is a haven of relaxation, surrounded by mature trees.The freshly painted deck provides ample space for entertaining.Enjoy easy access to nearby parks, schools, shopping centers, and dining options.		Vacant	Vacant	$505000.00	Gage Harris		Lake Havasu, AZ	Driveway Parking, Garage-Attached	8/8/2024 12:00:00 AM	(253) 314-9763			25		Closing	Cash Out, Conventional, FHA, VA	PSE	True	Residential	True	Composition	Puyallup	9/16/2024 12:00:00 AM	66212	Bethanie Ferrando	(425) 737-1771	6393	Windermere Real Estate/East	(425) 822-5100	$505000.00	False	Pierce County Sewer	Sewer Connected	True	True	MLS Keybox, See Remarks, ShowingTime, Vacant		Cable TV, Fenced-Partially, High Speed Internet	Realist	1576	9/16/2024 12:00:00 AM	Sold	12 - 2 Story	Sunrise	2024	2		0	Territorial		Tacoma Public Utilities			Public			2000	98374	False	None	2024-09-16	775		MLS
2405817	12929			159th	St	E		Puyallup	WA	Schedule in ShowingTime for auto confirmed appt. Prelim Title with Fidelity National Title, Jessica Adkins preferred for escrow. Please include CLA in email correspondence. Prelisting home inspection is available upon request. NEW ROOF will be installed prior to closing!	$5123.00	6022870850	Dishwasher(s), Microwave(s), Refrigerator(s), Stove(s)/Range(s)		88 - Puyallup	None	2.5	3		Good	Built On Lot			2.5		Pierce	$500000.00	Coming off 122nd Ave E heading south. Turn left onto Sunrise Parkway E. Turn right onto 130th Ave E, comes to a T - take left onto 158th St Ct E, turns into 131st Ave, turn right on 159th St E.	3	3	7/11/2025 12:00:00 AM	Natural Gas	Cement Planked		1576	1	Laminate, Wall to Wall Carpet	Poured Concrete			Bath Off Primary, Dbl Pane/Storm Windw, Dining Room, Walk-in Closet	7/13/2025 9:25:40 AM	7/11/2025 9:10:25 AM			5536	Jennifer Fetterplace	(360) 340-5376	10777	Deborah Bonneville	(360) 340-3359	9839	Windermere Prof Partners	(360) 876-9600			7/10/2025 12:00:00 AM	9839	Windermere Prof Partners	(360) 876-9600	$500000.00	Paved Street, Sidewalk				6374	Level								Welcome to this well maintained 3BR/2.5BA home in the desirable North Pointe at Sunrise community! Enjoy peace of mind with a new roof, newer furnace, heat pump, and hot water heater. LVP flooring spans the open concept main level which provides not only style but durability. The main level also features a stylish accent wall, cozy gas fireplace, and a modern kitchen with stainless steel appliances. Upstairs, you’ll find the laundry area conveniently located near all bedrooms. The spacious primary suite offers a walk-in closet and ensuite bath. Step outside to a fully fenced backyard with a deck...Perfect for summer entertaining. Gas heat, AC, and a prime location make this one a must-see!		Vacant	Vacant	$500000.00	Richard Dana	Samantha Dana	Puyallup, WA	Garage-Attached		(000) 000-0000			37		Closing	Cash Out, Conventional, FHA, VA	PSE	True	Residential	True	Composition	Puyallup									False	Pierce County	Sewer Connected	True	True	MLS Keybox, ShowingTime, Vacant		Cable TV, Deck, Fenced-Fully, Gas Available, High Speed Internet, Outbuildings	Tax Records	1576	7/10/2025 12:00:00 AM	Active	12 - 2 Story	Sunrise	2025	2		0			TPU	Garage	Gas	Public			2000	98374	False	None	2025-07-11	800		MLS
2343893	12917			159th	St	E		Puyallup	WA	"SHOWINGS AVAILABLE STARTING 4/21/25. PLS TEXT LB TO MAKE APPT. SCHEDULED CRAWLSPACE WORK ON 4/24 AND NEW ROOF ON 4/25. BOTH DAYS NO SHOWINGS AVAILABLE. KB on water spigot. Pls remove shoes or use booties provided. Closing plus 3 Days please! Primary bedroom WIC door locked requested by Owner. Old Republic Title/Escrow. Team Kelly Stango. Pls contact helpful listing agent for any questions you have!  Thank you!"	$4949.00	6022870880	Dishwasher(s), Dryer(s), Garbage Disposal, Refrigerator(s), Stove(s)/Range(s), Washer(s)	NW Contemporary	88 - Puyallup	None	2	3		Good	Built On Lot			2.5		Pierce	$499800.00	Pls follow GPS.	36	36	3/13/2025 12:00:00 AM	Electric, Natural Gas	Wood Products	FHA	1373	1	Vinyl Plank, Wall to Wall Carpet	Poured Concrete			Bath Off Primary, Dbl Pane/Storm Windw, Dining Room, Walk-in Closet	6/28/2025 4:00:24 AM	5/29/2025 11:15:35 AM			70433	Terri Han	(253) 228-6213									3/13/2025 12:00:00 AM	940	Skyline Properties, Inc.	(253) 604-6000	$489800.00	Curbs, Paved Street, Sidewalk				6820	Level								This charming rambler is nestled in the highly sought-after Sunrise Puyallup Community, offering an ideal blend of comfort, convenience, and style. Home w/ 1,373 sq.ft living space, 3 BED/2 full BA, and a functional floorplan on a large 6,820 sq.ft lot! Upgraded w/ brand new LVP floor, kitchen w/quartz countertops, cherry wood cabinets, tiled backsplash, stainless appliances, and light fixtures. Owner's current ongoing improvements with a NEW ROOF and a CLEAN CRAWLSPACE. Enjoy spacious fully fenced level backyard, two-car garage, and community amenties such as parks, bicycle paths, walking trails, athletic courts, and much more! Close to mall, shopping, restaurants and more. Perfect Home for first time homebuyers or downsizing families!		Owner	Owner	$485000.00	Zhang		Puyallup, WA	Garage-Attached	4/27/2025 12:00:00 AM	(000) 000-0000			20		Closing, Negotiable, See Remarks	Cash Out, Conventional, FHA, VA	PSE	True	Residential	True	Composition	Puyallup	5/28/2025 12:00:00 AM	112547	Ralph Castano	(206) 890-2612	7008	RE/MAX Metro Realty, Inc.	(206) 322-5700	$499800.00	False	Pierce County	Sewer Connected	True	True	Appointment, MLS Keybox, Owner-Call First, Pet in House, See Remarks		Fenced-Fully, High Speed Internet	Realist	1373	5/28/2025 12:00:00 AM	Sold	10 - 1 Story	Sunrise	2025	2		0	Territorial		Tacoma	Garage	Gas	Public			2000	98374	False	None	2025-05-29	66.67		MLS
1959709	15814			129th	Ave	E		Puyallup	WA	Call or Text Listing Agent for Showing. Please use First American to avoid counter, Ann Smith  teamannsmith@firstam.com	$4220.00	602287-060-0	Dishwasher(s), Dryer(s), Garbage Disposal, Refrigerator(s), Stove(s)/Range(s), Washer(s)		88 - Puyallup	None	2.5	3			Built On Lot			2.5		Pierce	$485000.00	From Meridian go east on 176th left on 122nd right on Sunrise Blvd right on 130th Immediate right to 129th home on right.	10	10	6/30/2022 12:00:00 AM	Electric, Natural Gas	Wood Products	Conventional	1504	0	Bamboo/Cork	Poured Concrete	Forced Air		Bath Off Primary, Dining Room	8/18/2022 9:47:06 AM	8/18/2022 9:47:06 AM			90994	David Quantrell	(253) 988-5819	141605	Anthony Campa	(888) 317-5197	5939	eXp Realty	(888) 317-5197			6/30/2022 12:00:00 AM	5939	eXp Realty	(888) 421-2531	$474950.00	Cul-de-sac, Paved Street				4425									Come look at the custom craftsmanship throughout this home! Open concept living/dining/kitchen are all well-appointed. Outside you’ll find a giant covered patio, featuring wood planked ceiling w/fan, outdoor fireplace, BBQ grill w/ counter space and bar, with plenty of room for outdoor furniture. Perfect for PNW living! Upstairs you will find 3 bedrooms including a large primary bedroom w/ updated ensuite & walk in closet. 2 bedrooms feature customized closets, one features a private balcony through a separate door. Also featured: home gym, bamboo flooring throughout, custom touches everywhere! This easy living home has it all!		Angela	Owner	$474950.00	Angela M Campa-Tovar		Puyallup, WA	Garage-Attached	7/21/2022 12:00:00 AM	(253) 988-5819			25		Closing	Cash Out, Conventional, FHA, VA		True	Residential	True	Composition	Puyallup	8/18/2022 12:00:00 AM	137875	Katie Lowder	(253) 201-3130	5607	Redfin	(253) 201-3130	$485000.00	False		Sewer Connected	True	True	Call Listing Office, MLS Keybox		Cabana/Gazebo, Fenced-Fully, Patio	Tax Records	1504	8/18/2022 12:00:00 AM	Sold	12 - 2 Story	Puyallup	2022	2		0						Public			2000	98374	False	None	2022-08-18	59		MLS
1885494	13013			159th	St	E		Puyallup	WA	OFFERS DUE SUNDAY NIGHT (2/6). REVIEWING MONDAY @ 11am. Contact co-listing agent, Christian with any questions (253-468-5228). Go and show any time between 9am-6pm Saturday & Sunday. Please still submit Showing Time request. Dog in house. Owner will be home but will step outside when you arrive. Follow all Covid guidelines. Please use First American T&E - Team Ann Smith.	$3896.00	6022870810	Dishwasher(s), Dryer(s), Garbage Disposal, Microwave(s), Refrigerator(s), Stove(s)/Range(s), Washer(s)		88 - Puyallup		2.5	3			Built On Lot			2.5		Pierce	$480000.00	From Sunrise Pkwy E - turn onto 130th Ave E, left on 158th St Ct E, right onto 131st Ave E, Right on 159th St E. Home is on your right.	3	3	2/4/2022 12:00:00 AM	Electric, Natural Gas	Cement Planked, Wood, Wood Products	Conventional	1576	1	Laminate, Vinyl Plank, Wall to Wall Carpet	Poured Concrete	Forced Air		Dbl Pane/Storm Windw, Walk-in Closet	3/7/2022 7:25:04 AM	3/7/2022 7:25:04 AM			67180	Kari Montgomery	(253) 318-6146	119441	Christian Perkins	(253) 468-5228	9385	Keller Williams Realty	(253) 848-5304			2/4/2022 12:00:00 AM	9385	Keller Williams Realty	(253) 848-5304	$450000.00	Curbs, Paved Street, Secluded				5103	Garden Space, Level								Well maintained 3 bed, 2.5 bath home in the highly desired North Pointe community of Sunrise. The home features vaulted ceilings, a spacious primary bedroom with walk-in closet, as well as updated bathrooms and kitchen with a bar top. New furnace and water heater were installed in 2019. The fully-fenced backyard is perfect for pets and entertaining. Great location close to restaurants, entertainment, and highways. Enjoy the amazing amenities, parks, and walking trails that Sunrise has to offer!		William	Owner	$450000.00	William Bresnahan		Puyallup, WA	Garage-Attached	2/7/2022 12:00:00 AM	(253) 318-6146			24		Closing	Cash Out, Conventional, FHA, VA		True	Residential	True	Composition	Puyallup	3/4/2022 12:00:00 AM	24192	Stephanie Powers	(206) 245-8571	4603	Better Properties Kitsap	(360) 479-6700	$480000.00	False		Sewer Connected	True	True	Appointment, MLS Keybox, Pet in House, See Remarks, ShowingTime		Fenced-Fully, Gas Available, Patio	Public Records	1576	3/4/2022 12:00:00 AM	Sold	12 - 2 Story	Puyallup	2021	2			Territorial			Garage	Gas	Public			2000	98374	False	None	2022-03-07	50		MLS
1797523	12702			159th	St	E		Puyallup	WA	Use Showing Time and Supra Keybox.	$4431.00	6022870520	Dishwasher(s), Dryer(s), Garbage Disposal, Microwave(s), Range/Oven, Washer(s)		88 - Puyallup	None	2.5	4		Good	Built On Lot			2.5		Pierce	$479000.00	From Meridian Ave. turn onto Sunrise Blvd E, turn left onto 130th E, turn right into 158th St Ct E, turn left onto 129th Ave E, turn right onto 159th St E, 12702 at end of cul de sac	16	16	6/24/2021 9:43:17 AM	Electric, Natural Gas	Cement Planked, Cement/Concrete, Wood	Conventional	1646	1	Laminate, Laminate Hardwood, Slate, Wall to Wall Carpet	Poured Concrete	Forced Air, Insert		Bath Off Primary, Ceiling Fan(s), Walk-in Closet	8/31/2021 2:07:31 PM	8/31/2021 2:07:31 PM			132808	Leo Hogue	(360) 688-9698									6/24/2021 12:00:00 AM	478	Yelm Windermere Real Estate	(360) 458-3855	$479000.00	Cul-de-sac, Dead End Street, Paved Street, Secluded, Sidewalk	Irregular cul-de-sac			11282	Fruit Trees, Garden Space, Level, Wooded								Welcome to this charming 4 bdrm & 2.5 bth home in Sunrise Village. Enjoy your secluded lot at the end of the cul de sac in the community of Cambria. Home provides space for a hot tub and plenty of room for entertaining on your large backyard deck. This is the largest lot in the neighborhood. Home has recent updates with interior doors and trim. Open concept kitchen with marble counters. Location provides for beautiful walks along manicured sidewalks/lawns and access to tennis courts and fountain ponds. This home in conveniently located close to shopping and schools! Make this your forever home!		Vacant	Vacant	$479000.00	Jon Tengesdal		Bend, OR	Driveway Parking, Garage-Attached	7/15/2021 12:00:00 AM	(360) 688-9698			21		Closing	Cash Out, Conventional, FHA, VA	PSE	True	Residential	True	Composition	Puyallup	8/20/2021 12:00:00 AM	76401	Leslie Marie Reed		7192	Windermere Real Estate Co.	(206) 526-5544	$479000.00	False		Sewer Connected	True	True	Appointment, MLS Keybox, ShowingTime, Vacant		Cable TV, Deck, Fenced-Fully, Gas Available, High Speed Internet, Outbuildings, Patio	PCR	1646	8/20/2021 12:00:00 AM	Sold	12 - 2 Story	Sunrise	2021	2		0				Garage	Gas	Public			2000	98374	False	None	2021-08-31	56		MLS
1867217	8408			160th	St Ct	E		Puyallup	WA	Please use SHOWINGTIME allow 1hour notice. Please see List of Improvements in supplements. Please use Rainier Title  Katie Ingham. Family size patio table with solar powered umbrella, double lounger, Sauna, two stand alone air conditioner units and Nordic Track treadmill with IFIT convey with home at no additional cost to the buyer.  Buyers to verify all information to their satisfaction.	$4140.00	602464-009-0	Dishwasher(s), Dryer(s), Microwave(s), Refrigerator(s), See Remarks, Stove(s)/Range(s), Washer(s)	NW Contemporary	88 - Puyallup	None	2.5	3			Built On Lot			2.5		Pierce	$477000.00	From 160th and Canyon Road, go East onto 160th RIGHT onto 86th Ave first RIGHT onto 160th St Ct E Home is on the left in the cul-de-sac.	27	27	11/23/2021 12:00:00 AM	Natural Gas	Wood	VA	1597	1	Ceramic Tile, Laminate, Wall to Wall Carpet	Poured Concrete	Insert, Other-See Remarks		Bath Off Primary, Ceiling Fan(s), Dining Room, Sauna, Vaulted Ceilings, Walk-in Closet	1/21/2022 10:45:50 AM	1/21/2022 10:45:50 AM			88172	Sandy Johnson	(253) 376-2698	102851	Mike Hass	(253) 230-1340	9233	Coldwell Banker Bain	(253) 752-7777			11/23/2021 12:00:00 AM	9233	Coldwell Banker Bain	(253) 752-7777	$477000.00	Cul-de-sac, Curbs, Paved Street, Sidewalk				5521	Level								Gorgeously maintained 3bd 2.5ba home in desirable South Hill community.  Come home and relax in this enchanting backyard complete with a custom wraparound patio and a covered area perfect for hosting a gathering or just enjoying the serene sanctuary. Roomy entry invites you into the great room where you can cozy up to the gas fireplace.  Open floor plan is ideal for entertaining.  Primary bedroom upstairs is complete with ensuite bath and a view of the custom 'crows nest' that covers the patio below.  The upstairs Utility room is a plus. Ideal proximity to shopping, doctors, vets, restaurants and more. Welcome Home!		Joanne	Owner	$477000.00	Joanne M Murphy		Puyallup WA	Garage-Attached	12/20/2021 12:00:00 AM	(253) 376-2698			38		Closing	Cash Out, Conventional, FHA, VA		True	Residential	True	Composition	Bethel	1/20/2022 12:00:00 AM	119451	Darlene Heseltine	(253) 861-1975	5607	Redfin	(253) 201-3130	$477000.00	False		Sewer Connected	True	True	Appointment, MLS Keybox, ShowingTime		Cable TV, Deck, Fenced-Fully, Gas Available, High Speed Internet, Patio	Public Records	1597	1/20/2022 12:00:00 AM	Sold	12 - 2 Story	Puyallup	2021	2		0	Territorial					Public			2004	98374	False	None	2022-01-21	0		MLS
1837731	13010			159th	St	E		Puyallup	WA	Owners would prefer closing +7. Use Jennifer Gradin at Rainier Title to avoid counter. Call CLA with any questions. Owner will review any offers on the review date. Please give at least one hour notice.	$3874.00	602287-024-0	Dishwasher(s), Microwave(s), Range/Oven, Refrigerator(s)		88 - Puyallup		2.5	4		Good	Built On Lot			2.5		Pierce	$475000.00	From Meridian, head east on 152nd St E. Turn right on 122nd Ave E. Left on Sunrise Parkway. Right on 130th Ave E. Left on 158th, right on 159th. Home will be on the right.	20	20	9/10/2021 9:52:54 AM	Electric, Natural Gas	Cement Planked, Wood Products	VA	1646	1	Wall to Wall Carpet, Laminate Hardwood	Poured Concrete	Forced Air		Ceiling Fan(s), Dbl Pane/Storm Windw, Dining Room, High Tech Cabling	11/1/2021 2:26:57 PM	11/1/2021 2:26:57 PM			100722	Rory Pitts	(253) 720-5111	87111	Luke Weaver	(360) 649-5484	5939	eXp Realty	(888) 421-2531			9/10/2021 12:00:00 AM	5939	eXp Realty	(888) 421-2531	$475000.00	Sidewalk				4035	Level								Welcome home to this meticulously maintained 4-bdrm home located in North Pointe of the the highly sought after Sunrise Community. Imagine yourself walking into your new home that already has everything you wanted to do to it. Beautiful laminate hardwood floors, high ceilings, a kitchen that pops with beautiful backsplash, white cabinets, under-cabinet LED lighting and so much more. Make your way upstairs to find three spacious secondary bedrooms to go along with a generous master that includes large walk-in closet and master bath. And, at the end of the day, wind down outside in your own hot tub, listening to the sound of the woods coming from the gorgeous green belt behind your home. Low maintenance, beautiful neighborhood. Hurry home!		James & Amy	Owner	$475000.00	James C Matthews		Puyallup	Garage-Attached	9/30/2021 12:00:00 AM	(360) 649-5484			25		See Remarks	Cash Out, Conventional, FHA, VA	PSE	True	Residential	True	Composition	Puyallup	11/1/2021 12:00:00 AM	102753	Christine Bowers	(253) 341-0659	9861	Keller Williams Realty PS	(253) 835-4500	$475000.00	False	Tacoma Public Utilities	Sewer Connected	True	True	Appointment, MLS Keybox		Fenced-Fully, Gas Available, High Speed Internet, Hot Tub/Spa, Patio	Realist	1646	11/1/2021 12:00:00 AM	Sold	12 - 2 Story	Sunrise	2021	2		0	Territorial		Tacoma Public Utilities			Public			2000	98374	False	None	2021-11-01	56		MLS
1922873	12820			159th	St	E		Puyallup	WA	Use ShowingTime	$3922.00	602287-039-0	Dishwasher(s), Dryer(s), Refrigerator(s), Stove(s)/Range(s), Washer(s)	Contemporary	88 - Puyallup	None	2.5	3		Good	Built On Lot	True		2.5		Pierce	$470000.00	Meridian to east on 152nd.  Right on 122nd Ave. Left on Sunrise Parkway E.  Right on 132nd Follow to right which becomes 159th St E. to home on left.	4	4	4/28/2022 12:00:00 AM	Electric, Natural Gas	Cement Planked	Conventional	1504	1	Laminate, Vinyl, Wall to Wall Carpet	Poured Concrete	Forced Air		Bath Off Primary, Dbl Pane/Storm Windw, Dining Room, Walk-in Pantry	5/26/2022 9:55:32 AM	5/26/2022 9:55:32 AM			86128	Cathy Torgerson	(253) 740-3531	17116	Vickie Jennings	(253) 229-9709	5853	Windermere Prof Prtnr-Puyallup	(253) 446-5266			4/28/2022 12:00:00 AM	5853	Windermere Prof Prtnr-Puyallup	(253) 446-5266	$450000.00	Paved Street, Sidewalk				4510	Garden Space, Level								This is it...A North Pointe home in Sunrise.  3 bedrooms and 2 1/2 bath with open floor plan. Downstairs has laminate floors, great bar area open to family room, white appliances and cabinets in kitchen.  Great natural light with lots of windows. Backs to greenbelt which offers great privacy in backyard with firepit and grass area.  2 car garage.  Primary with full bath upstairs.  All appliances stay.  Fully Fenced.  Great location, close to schools and easy commute to South Hill or freeways.  Call your favorite agent today for a showing.		Chris and Julissa	Owner	$450000.00	Christopher L Jones		Puyallup,WA	Driveway Parking, Garage-Attached, Off Street	5/2/2022 12:00:00 AM	(253) 740-3531			2		Closing	Cash Out, Conventional, FHA, VA	PSE	True	Residential	True	Composition	Puyallup	5/25/2022 12:00:00 AM	28672	Vincent Sottero	(206) 909-5021	901	Coldwell Banker Bain	(253) 841-9100	$470000.00	False	Pierce County Sewer	Sewer Connected	True	True	Appointment, MLS Keybox, Pet in House, ShowingTime		Cable TV, Deck, Fenced-Fully, Gas Available	Realist	1504	5/25/2022 12:00:00 AM	Sold	12 - 2 Story	Sunrise	2022	2		0	Territorial		TPU	Garage	Gas	Public			2000	98374	False	None	2022-05-26	710		MLS
