Listing Number	Street Number	Street Number Modifier	Street Direction	Street Name	Street Suffix	Street Post Direction	Unit	City	State	Agent Only Remarks	Taxes Annual	APN	Appliances That Stay	Architecture Desc	Area	Basement	Bathrooms	Bedrooms	Builder	Building Condition	Building Information	Bus Line Nearby	BBC Comments	Commission	Contingent Date	County	Current Price	Directions	CDOM	DOM	Entry Date	Energy Source	Exterior	Financing	Finished Sqft	Fireplaces Total	Floor Covering	Foundation	Heating Cooling Type	Inactive Date	Interior Features	Matrix Modified DT	Last Price Change Date	Leased Equipment	Legal Description	Listing Agent ID	Listing Agent Full Name	Listing Agent Cellular	Co Listing Agent ID	Co Listing Agent Full Name	Co Listing Agent Cellular	Co Listing Office ID	Co Listing Office Name	Co Listing Office Phone	Co Selling Office Name	Co Selling Office Phone	Listing Date	Listing Office ID	Listing Office Name	Listing Office Phone	Listing Price	Lot Details	Lot Dimensions	Lot Measurement	Lot Number	Lot SqFt	Lot Topography	Manu. Home Manufacturer	Manu. Home Model No.	Manu. Home Serial No.	Map Book	Map X Coordinate	Map Y Coordinate	Map Page	Marketing Remarks	New Construction State	Occupant Name	Occupant Type	Original Price	Owner Name	Owner Name 2	Owners City State	Parking Type	Pending Date	Phone to Show Number	Photographer Instructions	Picture Provided By	Photo Count	Pool Type	Possession	Potential Terms	Power Company	Preliminary Title Ordered	Property Sub Type	Publish to Internet	Roof	School District	Selling Date	Selling Agent ID	Selling Agent Full Name	Selling Agent Cellular	Selling Office ID	Selling Office Name	Selling Office Phone	Selling Price	Senior Exemption	Sewer Company	Sewer Type	Show Addressto Public	Show Map Link	Showing Information	Showing Instructions	Site Features	Square Footage Source	Square Footage	Contractual Date	Status	Style Code	Subdivision	Tax Year	Parking Covered Total	Total Useable Rooms	Square Footage Unfinished	View	Virtual Tour URL	Water Company	Water Heater Location	Water Heater Type	Water	Waterfront	Waterfront Footage	Year Built	Zip Code	Bank or REO	Third Party Approval Required	Status Change Date	Association Dues	Building Complex Or Project Name	Sale Type 
1878870	12637			177th	St	E		Puyallup	WA	Call to schedule your virtual or in person tour today. Builder forms required. First American Escrow Tacoma. Please see supplements. Reg Policy #4667. SOC is 2.0% of base price only. Base Price is $609,990	$.00	3064000079	Dishwasher(s), Garbage Disposal, Microwave(s), Stove(s)/Range(s)	See Remarks	89 - Graham/Frederickson	None	1.75	4	Richmond American Homes	Under Construction	Built On Lot		2% of base price. Base Price is $609,990	2%		Pierce	$745221.00	From 122nd Ave keep south past Sunrise parkway to 176th. Make a left on 176th and the community is on your right. From 176th head east. Once you past 122nd, the community will be on your right.	76	76	1/14/2022 12:00:00 AM	Natural Gas	See Remarks	Conventional	1741	1	Vinyl, Wall to Wall Carpet	Poured Concrete	Heat Pump		Bath Off Primary, Dbl Pane/Storm Windw, Walk-in Closet	8/12/2022 12:04:07 PM	8/12/2022 12:04:07 PM			29113	Christopher Humphrey	(253) 353-1737	85503	Robin Stockwell	(253) 720-9591	2304	Richmond Realty of Washington	(253) 235-4572			1/14/2022 12:00:00 AM	2304	Richmond Realty of Washington	(253) 235-4572	$674990.00	Curbs, Paved Street, Sidewalk	6392		79	6392	Level								The Alexandrite plan combines a 3 car garage and covered patio with spacious living areas with ample opportunities for personalization. A covered entry leads past a laundry into an open floorplan, featuring a kitchen with a center island, a dining area, and a great room.  The owner’s suite is adjacent, and includes a walk-in closet and private bathroom. You’ll find the additional bedrooms and a full bath as well.	Under Construction	under construction	Vacant	$630990.00	Richmond American Homes		Kent WA	Garage-Attached	3/31/2022 12:00:00 AM	(253) 235-4572			1		Closing	Cash Out, Conventional, FHA, VA	PSE	True	Residential	True	Composition	Puyallup	8/12/2022 12:00:00 AM	25672	Mark Hulen	(253) 921-0887	9277	Better Properties Real Estate	(253) 589-2680	$745221.00	False	Pierce Co	Sewer Connected	True	True	Appointment		Cable TV, Fenced-Fully, Gas Available, Patio	Builder	1741	8/12/2022 12:00:00 AM	Sold	10 - 1 Story	Sunrise	2022	3		0		https://my.matterport.com/show/?m=UR7QqGzKtfe&mls=1		Garage	Hybrid Heat Pump	Public			2022	98374	False	None	2022-08-12	710	Madronas Seasons	MLS
2202603	13324			183rd	St Ct	E	lt 56	Puyallup	WA	Call 425-599-2204 for a showing appt. Buyers required to apply with affiliated lender Inspire Home Loans. See supplements for contact info. Seller Incentive $15k for CC or rate buy down with Inspire Home Loans. Must use Inspire to receive incentives. Reg #4784. Contact Sales agent to submit offers. Reg policy #4784. Buyer Broker to visit or register on 1st visit for full SOC or reduced to 1%. (see supplements) SOC paid on the lesser of adjusted base or purchase price.	$7000.00	6027720560	Dishwasher(s), Microwave(s), Stove(s)/Range(s)	Contemporary	89 - Graham/Frederickson	None	2	3	Century Communities	Under Construction	Built On Lot		Site Registration Required - See Remarks	2		Pierce	$674990.00	"From Meridian headed S. Turn Left on Sunrise Blvd. Turn Right on 122nd Av E. Left on 180th St E. The Pines community will be on the left."	6	6	2/22/2024 12:00:00 AM	Electric	Cement Planked	Conventional	1726	1	Ceramic Tile, Vinyl Plank	Poured Concrete			Bath Off Primary, Dbl Pane/Storm Windw, Dining Room, Vaulted Ceilings, Walk-in Closet, Walk-in Pantry	6/6/2024 5:02:58 PM	6/6/2024 5:02:58 PM			90162	Jason Mendel	(425) 599-2204	122475	Cassie Cutler	(425) 599-2204	3128	BMC Realty Advisors Inc	(425) 775-8661			2/22/2024 12:00:00 AM	3128	BMC Realty Advisors Inc	(425) 775-8661	$674990.00	Paved Street, Sidewalk			0056	8556									Welcome to The Pines at Sunrise in Puyallup. The popular Aurora plan is a single-story home with open concept. It offers ample private and common living space. Toward the front of the home, two generous bedrooms share a full hall bath. A third bedroom—the lavish primary suite—is secluded on the other side of the home and features an en-suite bath and roomy walk-in closet. Additional highlights include a spacious great room that flows into an elegant open dining area—with access to a covered patio—which overlooks a well-appointed kitchen boasting a center island and corner pantry. Fully landscaped front and back yard. policy:Site Reg 4784: Buyer Broker must accompany & register buyer at 1st visit	Under Construction	Your New Home	Presale	$674990.00	Century Communities of Washington LLC		Bothell, WA	Garage-Attached	2/28/2024 12:00:00 AM	(425) 275-5343			24		Closing	Cash Out, Conventional, FHA, VA	PSE	True	Residential	True	Composition	Puyallup	6/6/2024 12:00:00 AM	113337	Lisa Marlene Wray	(253) 882-5402	5939	eXp Realty	(888) 317-5197	$674990.00	False	Pierce County	Sewer Connected	True	True	Appointment		Cable TV, Patio	Builder	1726	6/6/2024 12:00:00 AM	Sold	10 - 1 Story	Sunrise	2024	2		0			TPU	Garage	Electric/Heat Pump	Public			2024	98374	False	None	2024-06-06	59	The Pines	MLS
2254807	18125			132nd	Ave	E	lt 96	Puyallup	WA	"Call (425) 275-5343 for a showing appt. Buyers required to apply with affiliated lender Inspire Home Loans. See website for ""Get Qualified"". Ask about our Incentive for rate buy down/CC with IHL!!!! Must use Inspire to receive incentives. Reg #4784. Contact Sales agent to submit offers. Buyer Broker to visit or register on 1st visit for full SOC or reduced to 1%. (see supplements) SOC paid on the lesser of adjusted base or purchase price."	$7000.00	6027720960	Dishwasher(s), Microwave(s), Stove(s)/Range(s)	Contemporary	89 - Graham/Frederickson	None	2	3	Century Communities	Under Construction	Built On Lot		Broker Reg Required - See Remarks	2		Pierce	$674990.00	"From Meridian headed S. Turn Left on Sunrise Blvd. Turn Right on 122nd Av E. Left on 180th St E. The Pines community will be on the left."	18	18	6/20/2024 12:00:00 AM	Electric	Cement Planked	VA	1726	1	Vinyl Plank, Wall to Wall Carpet	Poured Concrete			Bath Off Primary, Dbl Pane/Storm Windw, Dining Room, Vaulted Ceilings, Walk-in Closet, Walk-in Pantry	9/28/2024 10:10:34 AM	9/28/2024 10:10:34 AM			90162	Jason Mendel	(425) 599-2204	122475	Cassie Cutler	(425) 599-2204	3128	BMC Realty Advisors Inc	(425) 775-8661			6/20/2024 12:00:00 AM	3128	BMC Realty Advisors Inc	(425) 775-8661	$674990.00	Paved Street, Sidewalk			0096	6300									Welcome to The Pines at Sunrise in Puyallup. The popular Aurora plan is a single-story home with open concept. It offers ample private and common living space. Toward the front of the home, two generous bedrooms share a full hall bath. A third bedroom—the lavish primary suite—is secluded on the other side of the home and features an en-suite bath and roomy walk-in closet. Additional highlights include a spacious great room that flows into an elegant open dining area—with access to a rear covered patio—which overlooks a well-appointed kitchen boasting a center island and corner pantry. Fully landscaped front and back yard. Customer registration policy: Buyer Broker must accompany and personally register buyer at first visit.	Under Construction	Your New Home	Presale	$674990.00	Century Communities of Washington LLC		Bothell, WA	Garage-Attached	7/8/2024 12:00:00 AM	(425) 599-2204			24		Closing	Cash Out, Conventional, FHA, VA	PSE	True	Residential	True	Composition	Puyallup	9/27/2024 12:00:00 AM	99994	Non Member ZDefault		99994	ZNonMember-Office-MLS	(425) 820-9200	$674990.00	False	Pierce County	Sewer Connected	True	True	Appointment		Cable TV, Patio	Builder	1726	9/27/2024 12:00:00 AM	Sold	10 - 1 Story	Sunrise	2024	3		0			TPU	Garage	Electric/Heat Pump	Public			2024	98374	False	None	2024-09-28	59	The Pines	MLS
1831647	17715			125th	Ave	E		Puyallup	WA	Call to schedule your virtual or in person tour today. Builder forms required. First American Escrow Tacoma. Please see supplements. Reg Policy #4667. SOC is 2.0% of base price only.	$.00	602739-107-0	Dishwasher(s), Garbage Disposal, Microwave(s), Stove(s)/Range(s)	See Remarks	89 - Graham/Frederickson	None	1.75	4	Richmond American Homes		Built On Lot		on base price	2%		Pierce	$673411.00	From 122nd Ave keep south past Sunrise parkway to 176th. Make a left on 176th and the community is on your right. From 176th head east. Once you past 122nd, the community will be on your right.	0	0	8/27/2021 6:05:47 PM	Natural Gas	See Remarks	Conventional	1740	1	Vinyl, Wall to Wall Carpet	Poured Concrete	Heat Pump		Bath Off Primary, Dbl Pane/Storm Windw, Walk-in Closet	5/6/2022 1:29:49 PM	5/6/2022 1:29:49 PM			29113	Christopher Humphrey	(253) 353-1737									8/27/2021 12:00:00 AM	2304	Richmond Realty of Washington	(253) 235-4572	$615990.00	Curbs, Paved Street, Sidewalk	7667		107	7667	Level								The Alexandrite plan combines a 3 car garage and covered patio with spacious living areas with ample opportunities for personalization. A covered entry leads past a laundry into an open floorplan, featuring a kitchen with a center island, a dining area, and a great room.  The owner’s suite is adjacent, and includes a walk-in closet and private bathroom. You’ll find thee additional bedrooms and a full bath as well.	Presale	Presale	Presale	$615990.00	Richmond American Homes		Kent WA	Garage-Attached	8/27/2021 12:00:00 AM	(253) 235-4572			12		Closing	Cash Out, Conventional, FHA, VA	PSE	True	Residential	True	Composition	Puyallup	5/6/2022 12:00:00 AM	30647	John Lynch	(206) 227-2617	5944	Keller Williams Rlty Lk Tapps	(253) 848-5304	$673411.00	False	Pierce Co	Sewer Connected	True	True	Appointment		Cable TV, Fenced-Fully, Gas Available, Patio	Builder	1740	5/6/2022 12:00:00 AM	Sold	10 - 1 Story	Sunrise	2021	3		0				Garage	Hybrid Heat Pump	Public			2021	98374	False	None	2022-05-06	57	Seasons at Madronas	MLS
1876632	12636			177th	St	E		Puyallup	WA	Call to schedule your virtual or in person tour today. Builder forms required. First American Escrow Tacoma. Please see supplements. Reg Policy #4667. SOC is 2.0% of base price only.  Base Price is $557,990	$.00	602739-091-0	Dishwasher(s), Garbage Disposal, Microwave(s), Stove(s)/Range(s)	See Remarks	89 - Graham/Frederickson	None	1.75	3	Richmond American Homes		Built On Lot		2% of base price. Base Price is $557,990	2%		Pierce	$665467.00	From 122nd Ave keep south past Sunrise parkway to 176th. Make a left on 176th and the community is on your right. From 176th head east. Once you past 122nd, the community will be on your right.	26	26	1/7/2022 12:00:00 AM	Natural Gas	See Remarks	Cash	1741	1	Vinyl, Wall to Wall Carpet	Poured Concrete	Heat Pump		Bath Off Primary, Dbl Pane/Storm Windw, Walk-in Closet	8/5/2022 2:05:18 PM	8/5/2022 2:05:18 PM			85503	Robin Stockwell	(253) 720-9591	29113	Christopher Humphrey	(253) 353-1737	2304	Richmond Realty of Washington	(253) 235-4572			1/7/2022 12:00:00 AM	2304	Richmond Realty of Washington	(253) 235-4572	$616990.00	Curbs, Paved Street, Sidewalk	6399		91	6399	Level								The Alexandrite plan combines a 3 car garage and an extended covered patio with spacious living areas with ample opportunities for personalization. A covered entry leads past a laundry into an open floorplan, featuring a kitchen with a center island, a dining area, and a great room.  The owner’s suite is adjacent, and includes a walk-in closet and private bathroom. You’ll find the 2 additional bedrooms, study  and a full bath as well.	Presale	Presale	Presale	$611990.00	Richmond American Homes		Kent WA	Garage-Attached	2/2/2022 12:00:00 AM	(253) 235-4572			12		Closing	Cash Out, Conventional, FHA, VA	PSE	True	Residential	True	Composition	Puyallup	7/29/2022 12:00:00 AM	97333	Briana Schiavone	(253) 740-3884	9861	Keller Williams Realty PS	(253) 835-4500	$665467.00	False	Pierce Co	Sewer Connected	True	True	Appointment		Cable TV, Fenced-Fully, Gas Available, Patio	Builder	1741	7/29/2022 12:00:00 AM	Sold	10 - 1 Story	Sunrise	2022	3		0				Garage	Hybrid Heat Pump	Public			2022	98374	False	None	2022-08-05	702	Madronas Seasons	MLS
1894538	17607			126th	Ave	E		Puyallup	WA	Call agent with questions or to schedule an appt. Builder forms required. First American Escrow Tacoma. Please see supplements. Reg Policy #4667. SOC is 2.0% of base price only.	$.00	6027390820			88 - Puyallup		1.75	4	Richmond American Homes		Built On Lot		2% base price. Base Price = $609,990	2		Pierce	$664000.00	From 122nd Ave keep south past Sunrise parkway to 176th. Make a left on 176th and the community is on your right. From 176th head east. Once you past 122nd, the community will be on your right.	34	34	2/26/2022 12:00:00 AM	Electric, Natural Gas	Cement Planked	VA	1740	1		Poured Concrete	90%+ High Efficiency, Forced Air, Heat Pump			10/7/2022 12:20:05 PM	10/7/2022 12:20:05 PM			14270	Stephen L. Keaton	(253) 693-4766	29113	Christopher Humphrey	(253) 353-1737	2304	Richmond Realty of Washington	(253) 235-4572			2/26/2022 12:00:00 AM	2304	Richmond Realty of Washington	(253) 235-4572	$693990.00				82	9311									The Alexandrite plan combines spacious living areas with ample opportunities for personalization. A covered entry leads past a laundry into an open floorplan, featuring a kitchen with a center island, a dining area, and a great room with fireplace. The owner's suite is adjacent, and includes a walk-in closet and private bathroom. You’ll find three additional bedrooms and a full bath. This home offers a 3-car garage, an extended covered patio, front and back landscaping & full fencing! Call today!	Under Construction	VACANT	Vacant	$678990.00	Richmond American Homes		Kent, WA	Garage-Attached	4/1/2022 12:00:00 AM	(253) 235-4572			18		Closing	Cash Out, Conventional, FHA, VA	PSE	True	Residential	True	Composition	Puyallup	10/7/2022 12:00:00 AM	99994	Non Member ZDefault		99994	ZNonMember-Office-MLS	(425) 820-9200	$664000.00	False	Pierce County	Sewer Connected	True	True	Appointment, Call Listing Office, MLS Keybox, See Remarks, Vacant			Builder	1740	10/7/2022 12:00:00 AM	Sold	10 - 1 Story	Sunrise	2022	3		0		https://my.matterport.com/show/?m=UR7QqGzKtfe&mls=1	Tacoma Water	Garage	Heat Pump Electric	Public			2022	98374	False	None	2022-10-07	710	Madronas Seasons	MLS
1900120	12212			176th	St	E		Puyallup	WA	Model homes are open Mondays 1pm-6pm and Tue-Sun 10am-6pm. Call or text listing agent to schedule a showing. Builder PSA - No MLS forms. Images not of actual home. SOC is 2% of base price only. Site Registration Policy #4877.	$.00	6027391480	Dishwasher(s), Garbage Disposal, Microwave(s), Stove(s)/Range(s)		89 - Graham/Frederickson	None	1.75	3	KB Home	Under Construction	Built On Lot		Paid on base purchase price.	2		Pierce	$660950.00	From Meridian & 176th St E. head east onto Sunrise Blvd E and make a right onto 122nd Ave E. Turn left onto 180th St E and make the 2nd left.  Model homes will be on the corner.	66	66	3/10/2022 12:00:00 AM	Electric, Natural Gas	Cement Planked, Wood	Cash	1629	1	Vinyl Plank, Wall to Wall Carpet	Poured Concrete	90%+ High Efficiency, Heat Pump		Dbl Pane/Storm Windw, High Tech Cabling, Walk-in Closet, Walk-in Pantry	6/1/2022 10:23:51 AM	6/1/2022 10:23:51 AM			124066	David O'Neal	(253) 970-4968	119267	Brad Ackerman	(253) 686-3810	6161	KB Home Sales	(425) 589-6155	KB Home Sales	(425) 589-6155	3/10/2022 12:00:00 AM	6161	KB Home Sales	(425) 589-6155	$665950.00	Cul-de-sac, Curbs, Paved Street, Sidewalk			148	9131									KB Home joins the beautiful Sunrise community at The Madronas!  Our 1629 single story plan offers 3 bedrooms and 1.75 bath. Features include a gas fireplace, quartz countertops throughout, luxury vinyl plank flooring, walk-in kitchen pantry, tiled walk-in shower at primary bath, and a fenced and fully landscaped yard.  Great for year round get-togethers with the covered patio and cozy great room with gas fireplace.  This home will be move in ready this month so don't wait too long!	Under Construction	Presale	Presale	$664779.00	KBHPNW, LLC		Bellevue, WA	Garage-Attached	5/19/2022 12:00:00 AM	(253) 970-4968			17		Closing	Cash Out, Conventional, FHA, State Bond, VA		True	Residential	True	Composition	Puyallup	5/31/2022 12:00:00 AM	124066	David O'Neal	(253) 970-4968	6161	KB Home Sales	(425) 589-6155	$660950.00	False		Sewer Connected	True	True	Appointment, See Remarks		Fenced-Partially, Gas Available, Patio	Builder Plans	1629	5/31/2022 12:00:00 AM	Sold	10 - 1 Story	Sunrise	2022	2		0				Garage	Electric Hybrid Tank	Public			2022	98374	False	None	2022-06-01	57		MLS
2384450	18111			134th	Ave	E		Puyallup	WA	T&E with WFG Tara Porcincula. 1 hour notice- schedule in Showingtime. Buyer and Buyers Agent to verify accuracy of listing. Seller may roughly need 1-2 weeks rent back. 1 bedroom does not have closet (builder gave option for home office/den)	$6183.00	6027720230			89 - Graham/Frederickson		2	3			Built On Lot		Thank you!!	2.5		Pierce	$659000.00	From Meridian headed S. Turn Left on Sunrise Blvd. Turn Right on 122nd Av E. Left on 180th St E. The Pines community will be on the left.	45	45	5/29/2025 12:00:00 AM	Electric, Natural Gas	Cement Planked		1726	0		Poured Concrete			Bath Off Primary, Ceiling Fan(s), Dbl Pane/Storm Windw, Dining Room, Security System, Walk-in Pantry, Walk-in Closet	6/20/2025 4:13:07 PM	5/29/2025 1:27:45 PM			137300	Heidi Wyatt	(425) 642-9519									5/29/2025 12:00:00 AM	4986	Tribeca NW Real Estate	(425) 691-8800	$659000.00	Paved Street, Sidewalk				7349									This impeccably maintained rambler shows like brand new! Discover The Aurora, a beautifully designed home offering a perfect blend of open-concept living & thoughtful private spaces.  At the front of the home, 2 spacious secondary rooms share a full hall bath—ideal for family, guests or a home office setup. Tucked away for privacy, the primary suite is a serene retreat featuring a large walk-in closet & a spa-inspired en-suite bath. The spacious great room with a gas fire place, flows into an open dining area & a well-appointed kitchen with a center island & corner pantry. Enjoy outdoor living with a covered patio, landscaped backyard & private full greenbelt views. Enjoy neighborhood walks with stunning Mount Rainier views & nearby parks.		Ms. Owner	Owner	$659000.00	Barbara Sommers		Puyallup, WA	Garage-Attached, Driveway Parking		(425) 642-9519			40		Closing	Cash Out, Conventional, FHA, VA		True	Residential	True	Composition	Puyallup									False		Sewer Connected	True	True	Appointment, MLS Keybox, ShowingTime		Cable TV, Patio	realist	1726	5/29/2025 12:00:00 AM	Active	10 - 1 Story	Sunrise	2025	2		0		https://www.zillow.com/view-imx/cd654454-6d0a-4210-809c-747737f1c922?wl=true&setAttribution=mls&initialViewType=pano				Public			2023	98374	False	None	2025-05-29	800		MLS
1798144	12518			178th	St	E		Puyallup	WA	Call to schedule your virtual or in person tour today. Builder forms required. First American Escrow Tacoma. Please see supplements. Reg Policy #4667. SOC is 2.0% of base price only.	$.00	00000000027	Dishwasher(s), Garbage Disposal, Microwave(s), Stove(s)/Range(s)	See Remarks	89 - Graham/Frederickson	None	2	4	Richmond American Homes		Built On Lot		on base price	2%		Pierce	$651691.00	From 122nd Ave keep south past Sunrise parkway to 176th. Make a left on 176th and the community is on your right. From 176th head east. Once you past 122nd, the community will be on your right.	3	3	6/24/2021 5:34:46 PM	Natural Gas	See Remarks	Other	1740	1	Vinyl, Wall to Wall Carpet	Poured Concrete	Heat Pump		Bath Off Primary, Dbl Pane/Storm Windw, Walk-in Closet	2/28/2022 1:29:17 PM	2/28/2022 1:29:17 PM			54896	Sue Dhillon	(425) 894-9007									6/24/2021 12:00:00 AM	2304	Richmond Realty of Washington	(253) 235-4572	$617990.00	Curbs, Paved Street, Sidewalk	6050		27	6448	Level								The Alexandrite plan combines a 3 car garage and covered patio with spacious living areas with ample opportunities for personalization. A covered entry leads past a laundry into an open floorplan, featuring a kitchen with a center island, a dining area, and a great room.  The owner’s suite is adjacent, and includes a walk-in closet and private bathroom. You’ll find thee additional bedrooms and a full bath as well.	Under Construction	Presale	Presale	$617990.00	Richmond American Homes		Kent WA	Garage-Attached	6/27/2021 12:00:00 AM	(253) 235-4572			12		Closing	Cash Out, Conventional, FHA, VA	PSE	True	Residential	True	Composition	Puyallup	2/28/2022 12:00:00 AM	92707	Robert A. Cook	(206) 713-6014	9823	Windermere PeninsulaProperties	(360) 275-5002	$651691.00	False	Pierce Co	Sewer Connected	True	True	Appointment		Cable TV, Fenced-Fully, Gas Available, Patio	Builder	1740	2/28/2022 12:00:00 AM	Sold	10 - 1 Story	Sunrise	2021	3		0		https://my.matterport.com/show/?m=UR7QqGzKtfe&mls=1		Garage	Hybrid Heat Pump	Public			2021	98374	False	None	2022-02-28	57	Seasons at Madronas	MLS
1904223	12310			176th	St	E		Puyallup	WA	Model homes are not quite finished so call or text listing agent to schedule a showing. Opening TBD. Builder PSA - No MLS forms. Images not of actual home. SOC is 2% of base price only. Site Registration Policy #4877.	$.00	6027391520	Dishwasher(s), Double Oven, Garbage Disposal, Stove(s)/Range(s)		89 - Graham/Frederickson	None	2	3	KB Home	Under Construction	Built On Lot		Paid on base purchase price.	2		Pierce	$650159.00	From Meridian & 176th St E. head east onto Sunrise Blvd E and make a right onto 122nd Ave E. Turn left onto 180th St E and make the 2nd left. Model homes will be on the corner.	0	0	3/20/2022 12:00:00 AM	Electric, Natural Gas	Cement/Concrete, Wood	Cash	1857	1	Vinyl Plank	Poured Concrete	90%+ High Efficiency, Forced Air, Heat Pump		Dbl Pane/Storm Windw, High Tech Cabling, Walk-in Closet	8/12/2022 1:56:19 PM	8/12/2022 1:56:19 PM			124066	David O'Neal	(253) 970-4968	119267	Brad Ackerman	(253) 686-3810	6161	KB Home Sales	(425) 589-6155			3/20/2022 12:00:00 AM	6161	KB Home Sales	(425) 589-6155	$653411.00	Curbs, Dead End Street, Paved Street, Sidewalk			152	6690									Our 1857 single story plan offers 3 bedrooms, 2 baths plus a den. Features include quartz countertops and luxury vinyl plank flooring throughout, gourmet kitchen, 5 piece primary bath, and a fenced and fully landscaped yard.  Great location in the Sunrise community close to parks, shopping and dining.	Under Construction	Presale	Presale	$653411.00	KBHPNW, LLC		Bellevue, WA	Garage-Attached	3/20/2022 12:00:00 AM	(253) 970-4968			6		Closing	Cash Out, Conventional, FHA, VA		True	Residential	True	Composition	Puyallup	8/12/2022 12:00:00 AM	124066	David O'Neal	(253) 970-4968	6161	KB Home Sales	(425) 589-6155	$650159.00	False		Sewer Connected	True	True	Appointment, See Remarks		Fenced-Partially, Gas Available, Patio	Builder Plans	1857	8/12/2022 12:00:00 AM	Sold	10 - 1 Story	Sunrise	2022	2		0				Garage	Electric Hybrid Tank	Public			2022	98374	False	None	2022-08-12	57		MLS
